file_name,add,Domain,Phyla,CARD,CAT,Comment,HORTUS,Latin_name,CAT_Description,description,link,video,ITA_names,ITA_descr,CAT_ITA_descrizione,Number,NL,NL_descriptie,CAT_NL_descriptie,English_name
34-cherry-tree,,,,Micro-Macro,Plant with seeds and flowers,,x,Prunus avium,,"""<p>It is native to Europe, Asia and Maghreb.</p> <p> In the botanical name, avium refers to birds that
propagate the tree by eating the fruits and dispersing the seed after flying away.</p> <p> Evidence of the consumption of wild fruits has been found even during the Bronze Age, and Roman archaeological sites in all of Europe. The earliest historical information was recorded by the Greek Theophrastus in his book History of Plants - 300 B.C.</p> <p> The world record for spitting cherry pit is 19 meters during the 2004 Michigan annual competition.</p>""",https://www.youtube.com/watch?v=URElx9A-0nk,https://www.youtube.com/watch?v=URElx9A-0nk,Ciliegia,"""È originario dell’Europa, dell’Asia e del Maghreb. Il nome botanico, avium si riferisce al fatto che gli uccelli che propaghino l’albero mangiando i frutti e disperdendo il seme dopo il volo. Prove del consumo dei frutti selvatici sono state trovate fin dall’età del bronzo, e siti archeologici romani in tutta Europa. Le prime informazioni storiche sono state registrate dal greco Teofrasto nel suo libro Storia delle piante - 300 a.C. 
Il record mondiale di sputo del nocciolo di ciliegia è di 19 metri durante la competizione annuale del 2004, in Michigan""",,34,Kers,"""<p>Hij komt oorspronkelijk uit Europa, Azië en de Maghreb.</p> <p> In de botanische naam verwijst avium naar vogels die de boom vermeerderen door de vruchten te eten en het zaad te verspreiden nadat ze zijn weggevlogen. </p> <p>Al in de bronstijd en op Romeinse archeologische vindplaatsen in heel Europa zijn bewijzen gevonden van de consumptie van de wilde vruchten. De vroegste historische informatie werd opgetekend door de Griek Theophrastus in zijn boek History of Plants - 300 v. Chr.</p> <p> Het wereldrecord kersenpitspugen staat op 19 meter tijdens de jaarlijkse Michiganwedstrijd in 2004.</p>""",,Cherry tree
35-rose-plant,,,,Micro-Macro,Plant with seeds and flowers,,x,Rosa chinensis,,'<p>It is native to southwestern China. </p> <p>China roses have been grown in China for millennia before Europeans knew about them. The first dried specimens were brought to Britain by botanical explorer James Cunningham in 1702. </p> <p>Modern rose DNA includes genes from several European and Chinese species.</p>'',https://www.youtube.com/watch?v=YBdznk2poGI,https://www.youtube.com/watch?v=z_rX4ZWnb5o,Rosa,È originaria della Cina sudoccidentale. Le rose cinesi sono state coltivate in Cina per millenni prima che gli europei le conoscessero. I primi esemplari essiccati furono portati in Gran Bretagna dall’esploratore botanico James Cunningham nel 1702. Il DNA della rosa moderna include geni di diverse specie europee e cinesi.,,35,Chinese roos,"""<p>Hij komt oorspronkelijk uit het zuidwesten van China. Chinese rozen werden al duizenden jaren in China gekweekt voordat de Europeanen ze leerden kennen. De eerste gedroogde exemplaren werden naar Groot-Brittannië gebracht door de botanische ontdekkingsreiziger James Cunningham in 1702.</p> <p> Het DNA van moderne rozen bevat genen van verschillende Europese en Chinese soorten.</p>""",,Rose
36-cactus,,,,Micro-Macro,Plant with seeds and flowers,,x,opuntia ficus-indica,,"""<p>It is the most widespread and commercially important cactus.</p> <p> The wild origin is likely to have been in Mexico.</p> <p> Fruits are eaten raw, or cooked for jams and jellies. They have one of the highest concentrations of vitamin C of any fruit. 
The “leaves” are cooked and eaten as a vegetable, and used to produce distilled liqueurs in Mexico, Italy, Malta, among some of the countries.</p>""",https://www.youtube.com/watch?v=vDpFyHmt0AE,https://www.youtube.com/watch?v=vDpFyHmt0AE,Fico d’India,"""È il cactus più diffuso e commercialmente importante. È probabile che l’origine selvatica fosse in Messico. I frutti vengono consumati crudi o cotti per marmellate e gelatine. 
Hanno una delle più alte concentrazioni di vitamina C di qualsiasi frutto. Le “foglie” vengono cotte e consumate come verdura e utilizzate per produrre liquori distillati in Messico, Italia, Malta e altri paesi.""",,36,Schijfcactus,"""<p>Het is de meest verspreide en commercieel belangrijkste cactus. De wilde oorsprong ligt waarschijnlijk in Mexico.</p> <p> De vruchten worden rauw gegeten of gekookt voor jam en gelei. Ze hebben een van de hoogste concentraties vitamine C van alle vruchten. De “bladeren” worden gekookt en gegeten als groente en worden gebruikt om gedistilleerde likeuren te maken in onder andere Mexico, Italië en Malta.</p>""",,Prickly pear
37-fungi-baker-yeast,,,,Micro-Macro,Fungi,,,Saccharomyces cerevisiae,"""<p>Fungi are classified as a kingdom.</p> <p> They include micro-organisms such as yeasts and moulds, as well as the more familiar mushrooms and the world’s largest known organism: Armillaria bulbosa.</p> ""","""<p>Archaeologists thought early hominids probably fermented fruit using yeast as early as a million years ago.</p>
<p>Since ancient times they have used this micro-organism to produce wine, bread and beer. The first evidence of leavened bread comes from ancient Egypt (1300-1500 BC) and China (500-300 BC).</p>
<p>Recent DNA studies suggest that the common yeast originated in China, before moving west via the route that would later become the Silk Road.</p>""",https://www.youtube.com/watch?v=BifgnEK5y10,https://www.youtube.com/watch?v=qylxpwNhFYI,Lievito per pane,"""Gli archeologi pensano che i primi ominidi probabilmente fermentavano i frutti usando lieviti già un milione di anni fa. 
Fin dall’antichità usavano questo microorganismo per produrre vino, pane e birra. Le prime testimonianze di pane lievitato vengono dall’antico Egitto (1300-1500 aC) e dalla Cina (500-300 aC).
Recenti studi del DNA, suggeriscono che il lievito comune abbia avuto origine in Cina, prima di spostarsi verso ovest attraverso il percorso che sarebbe poi diventato la Via della Seta.""","I funghi sono classificati come un regno. Includono microrganismi come lieviti e muffe, ma anche i funghi più familiari e l’organismo più grande conosciuto al mondo: Armillaria bulbosa. ",37,Broodgist,"""<p>Archeologen dachten dat vroege hominiden waarschijnlijk al een miljoen jaar geleden fruit fermenteerden met behulp van gist. Sinds de oudheid hebben ze dit micro-organisme gebruikt om wijn, brood en bier te produceren. Het eerste bewijs van gezuurd brood komt uit het oude Egypte (1300 1500 v.Chr.) en China (500-300 v.Chr.).</p> <p> Recente DNA-studies suggereren dat de gewone gist oorspronkelijk uit China kwam, voordat hij naar het westen verhuisde via de route die later de Zijderoute zou worden.<?p>""","“<p>Schimmels zijn geclassificeerd als een rijk, ze omvatten micro-organismen zoals gisten en schimmels, maar ook de bekendere paddenstoelen en 's werelds grootste bekende organisme: Armillaria bulbosa.</p>“",Bread yeast
38-fly-amanita,,,,Micro-Macro,Fungi,,x,Amanita muscaria,,"""<p>It is one of the most recognizable mushrooms and is often seen in popular culture as garden ornaments, in children’s picture books featuring gnomes and fairies, Smurfs, Super-Mario Bros, Bosch paintings, Disney film Fantasia, and Alice in Wonderland.</p>
<p>It has been used traditionally and pharmacologically for its intoxicating and hallucinogenic properties in the Middle East, Eurasia, and North America.</p>""",https://www.youtube.com/watch?v=_Dyuj-RI3Jk,https://www.youtube.com/watch?v=_Dyuj-RI3Jk,Finferli,"""Sono tra i funghi selvatici più apprezzati in cucina. 
Sono comuni in Eurasia, America settentrionale e centrale e Africa. Di solito crescono in grappoli nei boschi di conifere, ma si trovano spesso anche nelle foreste di betulle e tra le erbe a crescita bassa. Sono molto facili da individuare grazie al colore arancione/giallo brillante. Ma attenzione! si possono concondere facilmente con i Finti Finferli, che sono molto velenosi!""",,38,Vliegenzwam,"""<p>Het is een van de meest herkenbare paddenstoelen en vaak te zien als tuinornament, in kinderprentenboeken met kabouters en smurfen, in Super Mario Bros, en het bekende Bosch schilderij.</p> <p> De paddenstoel wordt traditioneel en farmacologisch gebruikt voor zijn bedwelmende en hallucinogene eigenschappen in het Midden-Oosten, Eurazië en Noord-Amerika.</p>""",,Fly amanita
39-finferli-mushroom,,,,Micro-Macro,Fungi,,x,Cantharellus cibarius,,"""<p>They are among the most popular wild mushrooms in the kitchen.</p>
<p>They are common in Eurasia, North and Central America and Africa. They usually grow in clusters in coniferous forests, but are also often found in birch forests and among low-growing grasses. They are very easy to spot due to their bright orange/yellow colour. </p>
<p>But ATTENTION PLEASE! They can be easily mixed with the False Chanterelles, which are very poisonous!</p>""",https://www.youtube.com/watch?v=uFT6vwxsZWk,https://www.youtube.com/watch?v=uFT6vwxsZWk,Amanita,"""È uno dei funghi più riconoscibili e spesso visti nella cultura popolare come ornamenti da giardino, nei libri illustrati per bambini con gnomi e fate, Puffi, Super-Mario Bros, la pittura di Bosch, il film Disney Fantasia, Alice nel paese delle meraviglie.
È stato usato tradizionalmente e farmacologicamente per le sue proprietà inebrianti e allucinogene in Medio Oriente, Eurasia, Nord America.""",,39,Cantharellen,"""<p>Ze behoren tot de populairste wilde paddenstoelen in de keuken.</p> <p> Ze komen veel voor in Eurazië, Noord- en Midden-Amerika en Afrika. Ze groeien meestal in clusters in naaldbossen maar worden ook vaak gevonden in berkenbossen en tussen laaggroeiend gras. Ze zijn heel gemakkelijk te herkennen door hun fel oranje/gele kleur.</p> <p> Maar let op: ze kunnen gemakkelijk worden verward met de valse cantharellen, die erg giftig zijn.</p>""",,Chanterelle
40-velvety-sea-sponge,,,,Invertebrates,Soft underwater animals,,,Crambe crambe,"""<p>Animals are multicellular organisms, most of which obtain nutrition by ingesting other organisms or decomposing organic material.</p>""","""<p>It lives in the Mediterranean Sea, but also in the North Atlantic Ocean, in the English Channel and in the North Sea.</p>
<p>Sponges aren’t actually animals, but colonies of animals that build armor around them, which is what we see and touch.</p>""",https://www.youtube.com/watch?v=sk4QiIHaFeU,https://www.youtube.com/watch?v=sk4QiIHaFeU,Spugna di mare arancione,"""Vive nel Mediterraneo, ma anche nell’Oceano Atlantico settentrionale, nella Manica e nel Mare del Nord. 
Le spugne non sono in realtà animali, ma colonie di animali che costruiscono armature attorno a loro, che è quello che vediamo e tocchiamo.""","Gli animali sono organismi pluricellulari, la maggior parte dei quali si nutre ingerendo altri organismi o decomponendo materiale organico.",40,Oranje zeespons ,"""<p>Het leeft in de Middellandse Zee, maar ook in de Noord Atlantische Oceaan, in het Kanaal en in de Noordzee.</p> <p> Sponzen zijn eigenlijk geen dieren, maar kolonies van dieren die een pantser om zich heen bouwen, dat is wat we zien en aanraken.</p>""","“Dieren zijn meercellige organismen, waarvan de meeste voeding krijgen door andere organismen op te nemen of organisch materiaal af te breken.”",Orange sea sponge
41-pelagia-nocturna,,,,Invertebrates,Soft underwater animals,,,Pelagia nocturna,"""<p>Invertebrates don’t have a backbone.</p> <p> Some have soft bodies (jellyfish, worms, slugs ...), others (insects, spiders, crustaceans...) have an external skeleton that protects their body like armour.</p>""","""<p>It’s bioluminescent, so it glows in the dark.</p> <p> It lives in tropical and temperate seas all around the world, in large dense swarms (known as blooms).</p> <p> Unusually for jellyfish, both its tentacles and bell are covered in cnidocytes (stinging cells), which continue to sting for some time after death.</p>""",https://education.nationalgeographic.org/resource/jellyfish-101/,https://www.youtube.com/watch?v=9z8ujpPgUjI,Medusa luminosa,"""È bioluminescente, quindi si illumina al buio. Vive nei mari tropicali e temperati di tutto il mondo, in grandi sciami densi (noti come fioriture). Insolitamente per le meduse, sia i suoi tentacoli che la campana sono ricoperti di cnidociti (cellule pungenti), che per un certo tempo dopo la morte continuano a rimanere urticanti.""","Gli invertebrati non hanno una spina dorsale. Alcuni hanno corpi molli (meduse, vermi, lumache...), altri (insetti, ragni, crostacei...) hanno uno scheletro esterno che protegge il loro corpo come un’armatura.",41,Lichtende kwal,"""<p>Hij is bioluminescent, dus hij gloeit in het donker. Hij leeft in tropische en gematigde zeeën over de hele wereld, in grote dichte zwermen.</p> <p> Ongebruikelijk voor kwallen is dat zowel de tentakels als de klok bedekt zijn met cnidocyten (netelcellen), die nog enige tijd na de dood blijven steken.</p>""","“Ongewervelde dieren hebben geen ruggengraat. Sommige hebben een zacht lichaam (kwallen, wormen, naaktslakken...), anderen hebben een uitwendig skelet dat hun lichaam als een pantser beschermt (insecten, spinnen, schaaldieren…).”",Luminous jellyfish
42-corallium-rubrum,,,,Invertebrates,Soft underwater animals,,,Corallium rubrum,,"""<p>A colony grows in the shape of small leafless bushes up to a meter in height, on rocky sea-bottom in dark depths or in caverns. </p>
<p>Coral has been harvested since ancient times for decorative use and used as a precious material. Coral jewelry has been found in European tombs dating back to prehistoric times, and in the ancient Egypt.</p>
<p>Its collection and the rise of temperatures is leading to its extinction.</p>""",https://www.youtube.com/watch?v=eNqbSi_6KdA,https://www.youtube.com/watch?v=eNqbSi_6KdA,Corallo Rosso,"""La colonia crescendo prende la forma di piccoli arbusti alti fino a un metro, su fondali rocciosi bui o in caverne. 
Il corallo è stato raccolto fin dall’antichità per uso decorativo e utilizzato come materiale prezioso. Gioielli di corallo sono stati trovati in tombe europee risalenti ad epoche preistoriche, e nell’antico Egitto.
La sua raccolta e l’innalzamento delle temperature terrestri ne sta portando all’estinzione.""",,42,Rood koraal,"""<p>Een kolonie groeit in de vorm van kleine bladloze struiken tot een meter hoog, op rotsachtige zeebodem in donkere diepten of in grotten.</p> <p> Koraal wordt al sinds de oudheid geoogst voor decoratief gebruik en gebruikt als kostbaar materiaal. Koraaljuwelen zijn gevonden in Europese graven die dateren uit de prehistorie, en in het oude Egypte.</p> <p> Het verzamelen en de stijging van de temperatuur leiden tot het uitsterven.</p>""",,Red coral
43-Psedocerus-bifurcus,,,,Invertebrates,Soft underwater animals,,,Psedocerus bifurcus,,"""<p>It breathes through your skin.</p>
<p>If it loses a body part, it can rebuild it.</p>
<p>It has eyes that move towards the light.</p>
<p>It is hermaphrodite, therefore both male and female at the same time, but it can also reproduce asexually:</p>
<p>- sexually, by spraying the sperm on the skin of another worm which absorbs it</p>
<p>- asexually, cutting a worm in half will result in two flat worms.</p>""",https://www.youtube.com/watch?v=NWJipvd_M7Q,https://www.youtube.com/watch?v=NWJipvd_M7Q,Verme marino piatto,"""Respira attraverso la pelle. 
Se perde una parte del corpo, può ricostruirla. 
Ha occhi che si muovono verso la luce.
È ermafrodita, quindi contemporaneamente sia maschio che femmina, ma può anche riprodursi asessualmente:
-sessualmente, spruzzando lo sperma sulla pelle di un altro verme che lo assorbe
-asessualmente, tagliando un verme a metà si avranno due vermi piatti.""",,43,Platworm,"""<p>Hij ademt door de huid. Als hij een lichaamsdeel verliest, kan hij het weer opbouwen. Hij heeft ogen die naar het licht toe bewegen.</p> <p> Hij is hermafrodiet, dus mannelijk en vrouwelijk tegelijk, maar hij kan zich ook ongeslachtelijk voortplanten:</p> <p> - Geslachtelijk: door het sperma op de huid van een andere worm te spuiten die het opneemt.</p> <p> - Ongeslachtelijk: door een worm doormidden te snijden krijg je twee platte wormen.</p>""",,Marine flatworm
44-Virididentula dentata-bugula-dentata,,,,Invertebrates,Molluscus,,,Bugula dentata,,"""<p>This organism has the same bright blue color used on ancient Egyptian monuments, called Egyptian blue—a color that is very rare in nature. 
It contains calcium, copper, and silicon, just like the blue pigment the ancient Egyptians made.</p> <p> But instead of being made in a lab, this colour might have come from the bacteria the Bugula dentata eats!</p>""",https://www.youtube.com/watch?v=plIMiwK632w,https://www.youtube.com/watch?v=cLgyBaR3zAY,Bugula dentata,"""È dello stesso colore blu che si trova sui monumenti egizi e chiamato “blu egiziano”, Molto raro in natura. 
Alcuni ricercatori giapponesi hanno scoperto che contiene calcio, rame e silicio, lo stesso mix ottenuto artificialmente dagli antichi egizi, Ma potrebbe essere stato il risultato dei batteri presenti nella loro dieta. """,,44,Bugula dentata,"""<p>Het is dezelfde blauwe kleur als op Egyptische monumenten en wordt Egyptisch blauw genoemd. Zeer zeldzaam in de natuur. </p> <p>Het bevat calcium, koper en silicium, dezelfde mix die de oude Egyptenaren maakten.</p> <p> Maar in plaats van dat het in een lab wordt gemaakt, zou de kleur kunnen komen door de bacteriën die de Bugula dentata eet.</p>""",,Blue animal moss
45-nautilus,,,,Invertebrates,Molluscus,,,Nautilus belauensis,"""<p>Molluscs are animals characterized by soft unsegmented bodies, often covered by a hard shell. They live in aquatic or damp habitats.</p>""","""<p>The word nautilus comes from the Greek nautílos - sailor, as they were thought to use two of their arms as sails.</p> 
<p>Fossils show that they have not evolved much during the last 500 million years.</p> 
<p>Their lifespan is around 20 years, super-long for a cephalopod. They reach their sexual maturity at about 15 years old: so their average reproductive lifespan is less than 5 years long.</p> 
<p>No wonder why they are endangered species...</p>""",https://www.youtube.com/watch?v=NLfk6U0eiFE,https://www.youtube.com/watch?v=dsTxoA8bHCg,Nautilus,"""La parola nautilus deriva dal greco nautílos - marinaio, perché si pensava usassero due dei loro bracci come vele. I fossili mostrano come non si sono si evoluti molto negli ultimi 500 milioni di anni. Hanno una vita massima è di circa 20 anni, lunghissima per un cefalopode. Raggiungono la maturità sessuale a 15 anni circa: quindi hanno una vita riproduttiva media di meno di 5 anni. Non c’è da stupirsi che sia una specie in via di estinzione...""",,45,Nautilus,"""<p>Het woord nautilus komt van het Griekse nautílos - zeeman, omdat men dacht dat ze twee van hun armen als zeilen gebruikten.</p> <p> Fossielen laten zien dat ze de afgelopen 500 miljoen jaar niet veel zijn geëvolueerd.</p> <p> Hun levensduur is ongeveer 20 jaar, superlang voor een koppotige. Ze zijn geslachtsrijp als ze ongeveer 15 jaar oud zijn: hun gemiddelde reproductieve levensduur is dus minder dan 5 jaar lang. Geen wonder dat het bedreigde diersoorten zijn.</p>""","“<p>Weekdieren zijn dieren met een zacht lichaam zonder segmenten, vaak bedekt met een harde schelp. Ze leven in aquatische of vochtige habitats.</p>”",Nautilus
46-octopus,,,,Invertebrates,Molluscus,,,Enteroctopus dofleini,,"""<p>It is the largest species among octopuses. The largest individual ever recorded weighed 180 kg, with an arm 3 m long.</p>
<p>It hunts prawns, crabs, scallops, cockles, snails, clams, lobsters, fish, other octopuses, but also seagulls and other marine species. 
They grab their food with suckers and then bite it off using their beaks.</p> <p> Octopuses have been proven to be among the smartest animals.</p>""",https://www.youtube.com/watch?v=lo_l6b0-tbQ,https://www.youtube.com/watch?v=tmJtd9BLCuc,Polpo gigante del Pacifico,"""È la specie più grande tra i polpi. L’individuo più grande mai registrato pesava 180 kg, con un braccio lungo 3 m. 
Caccia gamberi, granchi, capesante, fasolari, lumache, vongole, aragoste, pesci, altri polpi, ma anche gabbiani e altre specie marine. Prendono il cibo con le ventose e poi lo mordono usando il becco. È stato dimostrato come i polpi siano tra gli animal più intelligenti.""",,46,Reuzenkraak,"""<p>Het is de grootste octopussoort. De grootste ooit gemeten woog 180 kg, met een arm van 3 m lang.</p> <p> Hij jaagt op garnalen, krabben, sint-jakobsschelpen, kokkels, slakken, kreeften, vissen, andere octopussen, maar ook op meeuwen en andere zeedieren. Ze grijpen hun voedsel met zuignappen en bijten het vervolgens af met hun snavelachtige mond.</p> <p> Het is bewezen dat octopussen tot de slimste dieren behoren.</p>""",,Giant octopus
47-mytilus-edulis,,,,Invertebrates,Molluscus,,,Mytilus edulis,,"""<p>They filter out bacteria, metals and toxins, which would otherwise increase significantly.</p> <p> Due to pollution, their population is declining in many areas of the world.</p>
<p>The male has a bright orange body, while the female is cream colored.</p>""",https://www.youtube.com/watch?v=bF6j-mgdp3k,https://www.youtube.com/watch?v=bF6j-mgdp3k,Cozza comune,"""Filtrano batteri, metalli e tossine, che altrimenti aumenterebbero in modo significativo. A causa dell’inquinamento, la loro popolazione è in declino in molte aree del mondo. 
Il maschio ha il corpo arancione brillante, mentre la femmina è color crema.""",,47,Mossel,"""<p>Ze filteren bacteriën, metalen en gifstoffen uit het water, die anders aanzienlijk zouden toenemen. Als gevolg van vervuiling neemt de bevolking in veel delen van de wereld af.</p> <p> Het mannetje heeft een fel oranje lichaam, terwijl het vrouwtje crèmekleurig is.</p>""",,Blue mussel
48-venepulis-corrugata,,,,Invertebrates,Molluscus,,,Venepulis corrugata,,"""<p>Mollusc found in shallow waters in the Mediterranean Sea and the East Atlantic: from the coasts of Norway to West Africa.</p> <p> The word mollusc means soft, and molluscs are just that: have no skeletons or exoskeletons. Some molluscs, like clams, protect themselves with calcium shells.</p>""",https://www.youtube.com/watch?v=0o09RO1vVEE,https://www.youtube.com/watch?v=_KVFDfv6R2M,Vongola,"""Mollusco trovato in acque poco profonde nel Mar Mediterraneo e nell’Atlantico orientale: dalle coste della Norvegia all’Africa occidentale. La parola mollusco significa molle, e i molluschi sono proprio questo: non hanno scheletri o esoscheletri. Alcuni molluschi, come le vongole, si proteggono con gusci di calcio.""",,48,Tapijtschelp,"""<p>Weekdier dat voorkomt in ondiep water in de Middellandse Zee en de oostelijke Atlantische Oceaan: van de kusten van Noorwegen tot West Afrika. </p> <p>Het woord weekdier betekent zacht, en weekdieren zijn precies dat: ze hebben geen skelet of exoskelet. Sommige weekdieren, zoals kokkels, beschermen zichzelf met kalkschalen.</p>""",,Clam
49-Strombus-pugilis,,,,Invertebrates,Molluscus,,,Strombus pugilis,,"""<p>Medium-large sea snail, a marine mollusc with a robust, heavy spiral-shaped shell, lives in Florida, the Caribbean Sea and Brazil.</p> <p> It is used for producing a treatment of sexual impotence in traditional Brazilian medicine.</p>""",https://www.youtube.com/watch?v=iUeMxjkSPyM,https://www.youtube.com/watch?v=iUeMxjkSPyM,Conchiglia da combattimento,"""Lumaca di mare medio-grande, mollusco marino dal guscio robusto e pesante a forma di spirale, vive in Florida, nel Mar dei Caraibi e in Brasile. È usato per produrre un trattamento dell’impotenza sessuale nella medicina tradizionale brasiliana.""",,49,Strombus Pugilis,"""<p>Middelgrote zeeslak. Een zeeweekdier met een robuuste, zware spiraalvormige schaal.</p> <p> Leeft in Florida, de Caribische Zee en Brazilië. Het wordt in de traditionele Braziliaanse geneeskunde gebruikt voor de behandeling van seksuele impotentie.</p>""",,Fighting conch
50-animalia-gastropoda-nudibranco,,,,Invertebrates,Molluscus,,,Chromodoris dianae,,"""<p>Nudibranchs have bright colors to scare off predators. Usually, bright colors are associated with poisonous organisms, but sometimes they just pretend.</p>
<p>The name Nudibranch comes from the Latin nudus, naked and from the Greek bránkhia, gills: their gills (respiratory organs) are exposed.</p>""",https://www.youtube.com/watch?v=F7V8DRfZBQI,https://www.youtube.com/watch?v=F7V8DRfZBQI,Nudibranco di Diana,"""I nudibranchi hanno colori brillanti, per spaventare i predatori. Di solito, i colori vivaci sono associati a organismi velenosi, ma a volte fanno solo finta. 
Il nome Nudibranco viene dal latino nudus, nudo e dal greco bránkhia, branchie: le loro branchie (gli organi respiratori) sono esposte. 
Diana era la dea romana della natura e della caccia, poiché le sue branchie sono come piume gialle brillanti.""",,50,Zeenaaktslak,"""<p>Naaktslakken hebben felle kleuren om roofdieren af te schrikken.</p> <p> De Engelse naam Nudibranch komt van het Latijnse nudus, naakt, en van het Griekse bránkhia, kieuwen: hun kieuwen (ademhalingsorganen) liggen bloot.</p>""",,Diana's nudibranch
51-animalia-gastropoda-helix pomata,,,,Invertebrates,Molluscus,,x,Cepaea nemoralis,,"""<p>One of the most common snails in Europe.</p> <p> The background colour of the shell goes from white, yellow, pink, chestnut, to dark brown. Dark bands vary in intensity of colour, width and number (from zero to six), also change with temperature and pollution.</p>""",https://www.youtube.com/watch?v=i4vjEKjT8bg,https://www.youtube.com/watch?v=i4vjEKjT8bg,Chiocciola striata,"""Una delle lumache più comuni in Europa. Il colore di fondo della conchiglia va dal bianco, giallo, rosa, castano, al marrone scuro. Le bande scure variano per intensità di colore, larghezza e numero (da zero a sei), cambiano anche con la temperatura e l’inquinamento.""",,51,Zwartgerande tuinslak,"""<p>Een van de meest voorkomende slakken in Europa.</p> <p> De achtergrondkleur van de schelp varieert van wit, geel, roze, kastanjebruin tot donkerbruin. De donkere banden variëren in kleurintensiteit, breedte en aantal (van nul tot zes) en veranderen ook door de temperatuur en vervuiling.</p>""",,Grove snail
52-Phoronic-hippocrepia,,,,Invertebrates,Worms,,,Phoronis hippocrepia,,"""<p>Live inside burrows excavated inside bivalve shells or hard tubes made by other animals.</p> <p> They use, super-thin tentacles to bring food to the mouth.</p> <p> Their skin is so transparent, you can their blood underneath.</p>""",https://www.youtube.com/watch?v=LmKL9kn2lK8,https://www.youtube.com/watch?v=LmKL9kn2lK8,Verme a ferro di cavallo,Vive all’interno di tane scavate all’interno di gusci di bivalvi o tubi duri realizzati da altri animali. Usano tentacoli super sottili per portare il cibo alla bocca. La loro pelle è così trasparente che ne puoi vedere il sangue.,,52,Kleine hoefijzerworm,"‘’<p>Leeft in holen die zijn uitgegraven, in tweekleppige schelpen of harde buizen gemaakt door andere dieren. </p> <p>Ze gebruiken superdunne tentakels om voedsel naar de mond te brengen.</p> <p> Hun huid is zo transparant dat je hun bloed eronder kunt zien.</p>’’",,Horseshoe worm
53-lingula-anantina,,,,Invertebrates,Worms,,,Lingula anantina,,"""<p>In Latin Lingula means little tongue, while anatina means “​belonging to the duck”. </p> <p>The shape really resembles a little tongue coming out from a duckbill.</p> """,https://www.youtube.com/watch?v=v9WTp3FfvyI,https://www.youtube.com/watch?v=v9WTp3FfvyI,Lingula anatina,"""In latino Lingula significa piccola lingua, mentre anatina significa “​appartenente all’anatra”. La forma ricorda davvero una piccola lingua che esce da un becco d’anatra.""",,53,Lingula anatina,"""<p>In het Latijn betekent Lingula kleine tong, terwijl anatina betekent “behorend bij de eend”. De vorm lijkt op een tongetje dat uit een eendenbek komt.</p> """,,Oriental lamp shell
54-lumbricus-terrestris,,,,Invertebrates,Worms,,x,Lumbricus terrestris,,"""<p>It is a hermaphroditic worm (both male and female).</p> <p> It reproduces sexually with two individuals exchanging sperm with each other. The frequency of mating is relatively high (once every 7-11 days).</p>
<p>They also reproduce asexually: they can split into two new animals in which each produces the missing pieces, having exactly the same DNA, like twins.</p>""",https://www.youtube.com/watch?v=9ZHTerOJYMA,https://www.youtube.com/watch?v=9ZHTerOJYMA,Lombrico,"""È un verme ermafrodita (sia maschio sia femmina). Si riproduce sessualmente con due individui che si scambiano reciprocamente lo sperma. La frequenza degli accoppiamenti è relativamente alta (una volta ogni 7-11 giorni). 
Si riproducono anche asessualmente: si possono dividendere in due nuovi animali in cui ciascono produce i pezzi mancanti, avendo esattamente lo stesso DNA, come gemelli.""",,54,Regenworm,"""<p>Het is een hermafrodiete worm (zowel mannelijk als vrouwelijk). Hij plant zich seksueel voort, waarbij twee individuen sperma met elkaar uitwisselen. De paringsfrequentie is relatief hoog (eens per 7-11 dagen).</p> <p> Ze planten zich ook ongeslachtelijk voort: ze kunnen zich opsplitsen in twee nieuwe dieren die elk de ontbrekende delen produceren en precies hetzelfde DNA hebben, zoals tweelingen.’</p>’",,Earthworm
55-Nippostrongylus-brasiliensis,,,,Invertebrates,Worms,,,Nippostrongylus brasiliensis,,"'<p>It is a widely studied parasite due to its simple life-cycle and ability to be used in animal models.</p> 
<p>Recent research found that parasitic worms can be used to prevent Crohn’s disease by altering the bacterial balance.</p>''",https://www.youtube.com/watch?v=uUMRSRtO2B0,https://www.youtube.com/watch?v=uUMRSRtO2B0,Verme gastrointestinale,"È un parassita ampiamente studiato grazie al suo semplice ciclo di vita e alla capacità di essere utilizzato nei modelli animali.
Recenti ricerche hanno scoperto che i vermi parassiti possono essere utilizzati per prevenire la malattia di Crohn alterando l’equilibrio del batteri.",,55,Rondworm,"""<p>Het is een veel bestudeerde parasiet vanwege zijn eenvoudige levenscyclus en het vermogen om te worden gebruikt in diermodellen.</p> <p> Recent onderzoek heeft aangetoond dat parasitaire wormen kunnen worden gebruikt om de ziekte van Crohn te voorkomen door de bacteriële balans te veranderen.</p>""",,Gastrointestinal roundworm
56-Priapulus-caudatus,,,,Invertebrates,Worms,,,Priapulus caudatus,,"""<p>It is a cylindrical, non-segmented worm that burrows into soft sediments on the seabed.</p> <p> Its shape gives it both its common and Latin names.</p>""",https://www.youtube.com/watch?v=IwVyA7cF6Ho,https://www.youtube.com/watch?v=IwVyA7cF6Ho,Verme pene,"""È un verme cilindrico, non segmentato, che scava nei sedimenti molli del fondale marino. La sua forma gli dà sia il nome comune che quello latino.""",,56,Cactusworm,'<p>Het is een cylindervormige worm zonder segmenten die zich ingraaft in zachte sedimenten op de zeebodem. Zijn vorm heeft gezorgd voor zowel zijn Engelse als Latijnse naam.</p>'',,Penis worm
